,loss_func,loss_func_disp,m,run,epoch,train_loss,val_loss,sigma2_b_est,sigma2_e_est
0,NLL,RENN,2,0,0,1.7458752096055372,1.411384574004582,0.9472092390060425,0.9967267513275146
1,NLL,RENN,2,0,1,1.5793399224002158,1.4045563680785043,0.7450002431869507,0.9744980335235596
2,NLL,RENN,2,0,2,1.5317214772977568,1.446488509575526,0.5978243947029114,0.9486376047134399
3,NLL,RENN,2,0,3,1.5039796172646782,1.319682430653345,0.49156510829925537,0.8964561820030212
4,NLL,RENN,2,0,4,1.5081358756358194,1.3963307156449272,0.4218522310256958,0.9033972024917603
5,NLL,RENN,2,0,5,1.4895004122345537,1.4098683070568812,0.3660568594932556,0.900903046131134
6,NLL,RENN,2,0,6,1.4693260353810755,1.5510676105817158,0.32640159130096436,0.8825649619102478
7,NLL,RENN,2,0,7,1.4566111309696412,1.501116197733652,0.2922929525375366,0.8645644783973694
8,NLL,RENN,2,0,8,1.4453253939730006,1.2807528454632986,0.265420526266098,0.851691722869873
9,NLL,RENN,2,0,9,1.4427651797856338,1.429710872116543,0.24128885567188263,0.8377147316932678
10,NLL,RENN,2,0,10,1.4460344863621564,1.3524156936577387,0.22837574779987335,0.8442373275756836
11,NLL,RENN,2,0,11,1.4314570927562964,1.502634821903138,0.21958011388778687,0.8360110521316528
12,NLL,RENN,2,0,12,1.4411748825720418,1.4034072813533602,0.20097699761390686,0.8417264223098755
13,NLL,RENN,2,0,13,1.4174224009365735,1.4773992583865212,0.19450554251670837,0.847345769405365
14,NLL,RENN,2,0,14,1.4279066418946287,1.4505300500563212,0.18219369649887085,0.8598220348358154
15,NLL,RENN,2,0,15,1.4190533685997537,1.6379090661094302,0.1691170483827591,0.8522936105728149
16,NLL,RENN,2,0,16,1.4122860322716415,1.372424447110721,0.16495394706726074,0.8512195944786072
17,NLL,RENN,2,0,17,1.415565926755201,1.531751586567788,0.1581818014383316,0.8527616262435913
18,NLL,RENN,2,0,18,1.4132415248501686,1.4667955452487582,0.15478357672691345,0.8556594848632812
19,NLL,RENN,2,0,19,1.4124706101246631,1.5714843273162842,0.15063846111297607,0.8573079109191895
20,NLL,RENN,2,0,20,1.394812209916656,1.7226440608501434,0.14974328875541687,0.8529383540153503
21,NLL,RENN,2,0,21,1.4113506571508794,1.6081525257655553,0.14612093567848206,0.8511467576026917
22,NLL,RENN,2,0,22,1.4068182610696363,1.4154107641606104,0.14376704394817352,0.8550032377243042
23,NLL,RENN,2,0,23,1.3996073040341248,1.6912599205970764,0.1419132798910141,0.8501306176185608
24,NLL,RENN,2,0,24,1.390969500675566,1.3808242224511647,0.14270074665546417,0.8449745774269104
25,NLL,RENN,2,0,25,1.4019899032876484,1.5729134678840637,0.13933034241199493,0.8411802649497986
26,NLL,RENN,2,0,26,1.3987242523202474,1.4682030933243888,0.1363544464111328,0.8400718569755554
27,NLL,RENN,2,0,27,1.401254815724873,1.4058015772274561,0.13457901775836945,0.8402076363563538
28,NLL,RENN,2,0,28,1.3988450517079023,1.4365542531013489,0.1313466727733612,0.84099280834198
29,NLL,RENN,2,0,29,1.3932096298022936,1.5555839985609055,0.12888796627521515,0.8405112028121948
30,NLL,RENN,2,0,30,1.389727575306112,1.667967283299991,0.12827405333518982,0.8383526802062988
31,NLL,RENN,2,0,31,1.388329968087847,1.385978856966609,0.12548238039016724,0.8346450328826904
32,NLL,RENN,2,0,32,1.3898225265734228,1.4153755037557512,0.12498083710670471,0.8331812024116516
33,NLL,RENN,2,0,33,1.3888642599220915,1.463771477341652,0.1248885840177536,0.8317835330963135
34,NLL,RENN,2,0,34,1.397401245121745,1.4405647140173685,0.12339811027050018,0.8340829014778137
35,NLL,RENN,2,0,35,1.3909551089667362,1.491933673620224,0.12206126749515533,0.8349623680114746
36,NLL,RENN,2,0,36,1.3873989859789504,1.445411584916569,0.12125572562217712,0.8326197266578674
37,NLL,RENN,2,0,37,1.3919827965852607,1.4599519499710627,0.11995971202850342,0.8357933759689331
38,NLL,RENN,2,0,38,1.3849000506361182,1.3962165408191227,0.11873342841863632,0.8343988060951233
39,NLL,RENN,2,0,39,1.383729021252982,1.4102645019690196,0.11813272535800934,0.8322582840919495
40,NLL,RENN,2,0,40,1.382182527257835,1.396120344599088,0.1185019239783287,0.8316290378570557
41,NLL,RENN,2,0,41,1.3831973223276035,1.4728762748695554,0.11702095717191696,0.8314467072486877
42,NLL,RENN,2,0,42,1.3871582645384357,1.459050028806641,0.11579591035842896,0.8312520980834961
43,NLL,RENN,2,0,43,1.3875548712099182,1.4754025815498262,0.11460975557565689,0.8328210115432739
44,NLL,RENN,2,0,44,1.3789438805414926,1.5875365322544461,0.11326519399881363,0.8323274254798889
45,NLL,RENN,2,0,45,1.3889020346683698,1.529937480177198,0.11219758540391922,0.8339643478393555
46,NLL,RENN,2,0,46,1.3861599325279181,1.5355966183401288,0.1106775775551796,0.8355790376663208
47,NLL,RENN,2,0,47,1.381871568401797,1.4102656550350643,0.10941608995199203,0.8343843817710876
48,NLL,RENN,2,0,48,1.3820069274167432,1.408390958394323,0.10860540717840195,0.834074854850769
49,NLL,RENN,2,0,49,1.3781299608867512,1.3995044004349482,0.10804501175880432,0.834093451499939
50,NLL,RENN,2,0,50,1.3770497311685532,1.4414414806025369,0.10775583982467651,0.8330850005149841
51,NLL,RENN,2,0,51,1.3761415807719442,1.432932280358814,0.10750763863325119,0.8322997093200684
52,NLL,RENN,2,0,52,1.3678703273923594,1.397754430770874,0.10772958397865295,0.8300034999847412
53,NLL,RENN,2,0,53,1.3771850014530487,1.399508916905948,0.10730577260255814,0.8293209671974182
54,NLL,RENN,2,0,54,1.3695270762363785,1.5410019478627615,0.10689030587673187,0.8278285264968872
55,NLL,RENN,2,0,55,1.3749542688525849,1.377835221233822,0.10652346909046173,0.8272463083267212
56,NLL,RENN,2,0,56,1.364338804601626,1.555259740068799,0.10604672133922577,0.8241791129112244
57,NLL,RENN,2,0,57,1.3766824274792324,1.4565224867491495,0.10613353550434113,0.8257368206977844
58,NLL,RENN,2,0,58,1.3748824698950655,1.3986302280709857,0.10555607080459595,0.8254267573356628
59,NLL,RENN,2,0,59,1.3718469363671761,1.366649446033296,0.1050909161567688,0.8246749639511108
60,NLL,RENN,2,1,0,1.8052278820673624,1.7203436925159237,1.0252690315246582,1.0361273288726807
61,NLL,RENN,2,1,1,1.5080017458951032,1.7595380602813349,0.8428375124931335,0.9429389834403992
62,NLL,RENN,2,1,2,1.4698796706729464,1.7171308223794146,0.6728078126907349,0.8697507977485657
