,case_id,submitter_id,MKI67_tpm_unst,ERBB2_tpm_unst,ESR1_tpm_unst,PGR_tpm_unst
52,d13fb44b-291b-4ea4-920c-142daa8d1989,TCGA-AC-A5EH,18.4514,129.4031,7.7597,0.4016
53,64d4dfae-8d91-464b-adc3-80ba7caf54ae,TCGA-E9-A22E,10.0342,26.1079,102.3973,2.6658
54,afb9418e-91eb-4db1-aacf-12bd946c9ba0,TCGA-A8-A083,,,,
55,659b0170-e914-45ff-aa55-fcb8d3dc7b8a,TCGA-E9-A1NG,1.6351,29.122,25.8497,13.4847
56,4d26dada-5eb7-4d4e-8eb8-f5465c5c3428,TCGA-AR-A1AT,41.4945,3537.5456,22.1339,0.9745
57,0ed9ad26-7fdc-4d75-93f9-d029eee94993,TCGA-A1-A0SG,12.383,197.6731,239.981,196.5419
58,546248b0-22a0-4b70-a437-76fb0a238a0d,TCGA-AN-A0FJ,101.3356,57.3464,0.3379,0.1578
59,c49e3b18-fd88-48f4-8b01-300692ceb367,TCGA-C8-A131,24.1882,48.1679,0.7617,0.3067
60,5562455d-bbb8-46eb-a510-e8c6e1e26789,TCGA-B6-A0RL,,,,
61,5580b21a-2cdb-4777-ad79-6e06654144f5,TCGA-E2-A15H,41.0094,1183.2123,70.6377,14.6819
62,56203436-8634-4fd0-96b5-ba6be9d87857,TCGA-D8-A1JK,21.9794,68.2292,1.2859,2.4165
63,c07b122e-ac50-4db2-add2-5617a5d0e976,TCGA-GM-A2DA,12.74,392.6765,22.0534,8.2486
64,8cf54607-01ce-42b0-9bd9-8627edd9f3b7,TCGA-C8-A130,,,,
65,8d5fe6e8-d2cc-481f-a6a1-9cb6e7982cde,TCGA-A2-A0EW,11.484,141.1141,135.0679,31.9218
66,3a0775a0-61ae-43f2-b5f6-629a44355c2f,TCGA-GM-A2DK,,,,
67,c25898b4-eb33-42f4-bf3f-bf532a929e7d,TCGA-AO-A1KO,2.3597,41.8329,31.2598,27.4179
68,c2a742fe-3e8b-4210-85a6-7191a1123609,TCGA-AN-A0FN,11.9451,61.3134,78.612,4.3632
69,d2f2560c-ec80-4fea-9474-c47a2e85ea95,TCGA-AO-A0J2,68.681,132.3943,1.44,0.101
70,c348a9b3-c901-4384-a222-144387bac0c5,TCGA-BH-A1FU,54.2489,2201.6359,2.9071,8.9592
71,f475d460-75cd-4fe9-aa54-c90be12b4ef8,TCGA-B6-A0WY,12.4267,163.9892,47.2038,30.6948
72,c364e81c-eb1e-4870-ab37-9c661f5f2e3d,TCGA-AR-A0TX,42.5786,2642.6717,2.7299,0.746
73,d3d4d709-ab34-4617-aa8c-51a3d0a3efe6,TCGA-BH-A0DO,2.4099,91.7152,71.5369,29.3049
74,1f99e4d4-4e8b-4cc1-a129-227a2a82780e,TCGA-AR-A1AL,23.8972,153.3699,103.8005,157.9237
75,d48e9f25-f083-4f88-a92d-c12d9f765ba6,TCGA-A7-A426,9.3581,100.491,73.8174,70.5653
76,c462e422-eb8d-4daf-9897-2a9c6cbd783a,TCGA-A1-A0SD,22.6853,245.2534,146.4416,9.7251
77,c54d5507-bba5-4a1e-8885-3c3b1eed13c1,TCGA-D8-A27P,15.4732,244.0949,48.2495,34.1957
78,d5be2ab3-f748-480d-954b-385cf01b4c81,TCGA-D8-A27N,,,,
79,d5d8e76e-2f2a-49bc-ba0a-d51283611b16,TCGA-AO-A0JL,12.7748,105.3019,1.2972,0.1538
80,9676e46b-8f29-43cd-ab65-eb6a535cced4,TCGA-EW-A6S9,,,,
81,c65b835a-2d38-4250-a173-0780d2c2cf58,TCGA-E9-A1NI,23.3776,109.0708,247.1255,11.4316
82,ca20249f-b7ea-4fd9-9ecb-34f74755ae35,TCGA-XX-A89A,16.641,51.8327,32.4111,21.1386
83,d7308344-5bab-4073-bb4f-4d8cd8d7bd17,TCGA-E2-A159,,,,
84,d7808cbc-4b8c-467b-b2c3-f48d05b9ecab,TCGA-A8-A08Z,,,,
85,d7cac141-9269-4733-83ce-e1bc0b503254,TCGA-A8-A096,46.9406,124.0547,250.9826,5.237
86,c7c34fd9-3021-45b7-b6ff-30b4196585a8,TCGA-AR-A0TZ,81.8872,256.6063,174.5583,97.6888
87,c836951b-3ffb-4e20-8504-0eccb7d50dd4,TCGA-A2-A25F,67.8629,17.8291,2.1885,0.8432
88,d8ecba6a-9fff-4993-a799-9a8d2aea524e,TCGA-E2-A1LH,11.7235,35.3088,0.5704,0.0991
89,d8f8064f-02ef-4fed-942b-714cbe5e8455,TCGA-LL-A7T0,,,,
90,ed2617c3-5d3b-4688-9283-0f8a10e0b10d,TCGA-E9-A5UO,19.3301,250.0091,191.4533,41.9035
91,d9a1c06f-7b50-46b0-878e-89e8c31863ae,TCGA-B6-A400,,,,
92,2e32f31f-9817-4935-b259-96c59936ee33,TCGA-E2-A1L6,22.2968,125.6044,114.702,233.2505
